number,construction,installation,short,description
311,Канализационная насосная станция дождевых сточных вод,Административно-бытовая зона, АБЗ. ,УКПГ-2. АБЗ. Канализационная насосная станция дождевых сточных вод (поз. по ГП 311)
312,"Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1", , ,"УКПГ-2. Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1 (поз. по ГП 312)"
313,Блок-бокс дизельной электростанции АДЭС 1600кВт, , ,УКПГ-2. Блок-бокс дизельной электростанции АДЭС 1600кВт (поз. по ГП 313)
313а,Емкость подземная дренажная V=3 м3, , ,УКПГ-2. Емкость подземная дренажная V=3 м3 (поз. по ГП 313а)
315,Здание стоянки автотранспорта,Административно-бытовая зона, АБЗ. ,УКПГ-2. АБЗ. Здание стоянки автотранспорта (поз. по ГП 315)
450,Здание пожарного депо на 4 автомобиля,Пожарное депо, ПД. ,УКПГ-2. ПД. Здание пожарного депо на 4 автомобиля (поз. по ГП 450)
450а,Резервуар противопожарного запаса воды V=50 м3,Пожарное депо, ПД. ,УКПГ-2. ПД. Резервуар противопожарного запаса воды V=50 м3 (поз. по ГП 450а)
450б,Полоса препятствий,Пожарное депо, ПД. ,УКПГ-2. ПД. Полоса препятствий (поз. по ГП 450б)
450в,Учебная пожарная башня,Пожарное депо, ПД. ,УКПГ-2. ПД. Учебная пожарная башня (поз. по ГП 450в)
450г,Тренировочная полоса с предохранительными подушками,Пожарное депо, ПД. ,УКПГ-2. ПД. Тренировочная полоса с предохранительными подушками (поз. по ГП 450г)
450д,Дымокамера,Пожарное депо, ПД. ,УКПГ-2. ПД. Дымокамера (поз. по ГП 450д)
КГС 201,Куст газовых скважин №201, , ,УКПГ-2. Куст газовых скважин №201 (поз. по ГП КГС 201)
КГС 202,Куст газовых скважин №202, , ,УКПГ-2. Куст газовых скважин №202 (поз. по ГП КГС 202)
КГС 203,Куст газовых скважин №203, , ,УКПГ-2. Куст газовых скважин №203 (поз. по ГП КГС 203)
КГС 204,Куст газовых скважин №204, , ,УКПГ-2. Куст газовых скважин №204 (поз. по ГП КГС 204)
КГС 205,Куст газовых скважин №205, , ,УКПГ-2. Куст газовых скважин №205 (поз. по ГП КГС 205)
КГС 206,Куст газовых скважин №206, , ,УКПГ-2. Куст газовых скважин №206 (поз. по ГП КГС 206)
КГС 207,Куст газовых скважин №207, , ,УКПГ-2. Куст газовых скважин №207 (поз. по ГП КГС 207)
КГС 208,Куст газовых скважин №208, , ,УКПГ-2. Куст газовых скважин №208 (поз. по ГП КГС 208)
КГС 209,Куст газовых скважин №209, , ,УКПГ-2. Куст газовых скважин №209 (поз. по ГП КГС 209)
КОС,КОС. Комплекс термического обезвреживания жидких стоков, , ,УКПГ-2. КОС. Комплекс термического обезвреживания жидких стоков (поз. по ГП КОС)
КОС-7,"КОС. Блочно-комплектная трансформаторная подстанция 2БКТПА-1600/10/0,4-УХЛ1", , ,"УКПГ-2. КОС. Блочно-комплектная трансформаторная подстанция 2БКТПА-1600/10/0,4-УХЛ1 (поз. по ГП КОС-7)"
КОС-9,КОС. Блок-бокс дизельной электростанции АДЭС-1600 кВт, , ,УКПГ-2. КОС. Блок-бокс дизельной электростанции АДЭС-1600 кВт (поз. по ГП КОС-9)
УОК-3-2.2,Узел охранного крана УОК-3-2.2, , ,УКПГ-2. Узел охранного крана УОК-3-2.2 (поз. по ГП УОК-3-2.2)
КП УЗПОУ,Конденцатопровод УЗПОУ,,,УКПГ-2.Конденцатопровод УЗПОУ (поз. по ГП КП УЗПОУ)
УОК 204,Узел охранного крана УОК 204,,,УКПГ-2.Узел охранного крана УОК 204 (поз. по ГП УОК 204)
